test_before,test_after
5.2881927490234375,71.32064819335938
17.805500030517578,77.28948211669922
59.54142379760742,77.21894073486328
61.38264083862305,84.46945190429688
67.8109359741211,87.98521423339844
78.92806243896484,88.99858856201172
81.53845977783203,88.20513153076172
74.9427261352539,86.3974838256836
84.16468811035156,91.1322250366211
81.66573333740234,89.77082061767578
78.28016662597656,89.54229736328125
86.40729522705078,92.09894561767578
81.64886474609375,92.4404296875
88.9830551147461,94.06779479980469
85.11277770996094,93.0526351928711
85.29411315917969,90.5623779296875
89.26213073730469,93.22423553466797
89.63496398925781,94.0580825805664
89.17970275878906,93.04181671142578
88.88318634033203,93.27342224121094
91.39730072021484,95.92771911621094
92.88932037353516,94.94851684570312
90.50987243652344,95.25493621826172
91.14340209960938,94.15958404541016
93.09986114501953,95.21498107910156
90.70919799804688,94.79714965820312
92.4605484008789,93.62945556640625
93.93767547607422,95.52407836914062
93.46534729003906,95.41725158691406
92.76750183105469,95.64068603515625
93.27217102050781,93.33333587646484
94.1646728515625,96.56275177001953
94.02825927734375,95.94774627685547
90.57142639160156,95.71427917480469
94.26136779785156,95.8522720336914
94.05195617675781,95.07161712646484
94.19947814941406,96.6517333984375
94.64692687988281,95.87129974365234
93.46016693115234,96.83709716796875
94.14519500732422,95.62841796875
93.25248718261719,95.36691284179688
94.56917572021484,96.26820373535156
92.57176208496094,94.40663146972656
94.52637481689453,96.39818572998047
94.0750503540039,96.24752807617188
94.43765258789062,96.72982788085938
94.6694564819336,95.8453140258789
94.84848022460938,96.32997131347656
93.94962310791016,96.62425231933594
95.44485473632812,96.00425720214844
96.81151580810547,97.65801239013672
95.0,96.95054626464844
97.008544921875,98.02350616455078
94.3482666015625,97.19959259033203
96.53295135498047,97.27793884277344
95.85099792480469,96.88068389892578
95.11055755615234,96.63656616210938
95.4779052734375,97.63617706298828
95.19075775146484,96.64158630371094
96.34610748291016,97.66556549072266
91.15019226074219,96.16604614257812
95.23004150390625,96.54939270019531
94.65435028076172,96.52952575683594
95.43328857421875,97.74415588378906
94.63601684570312,96.57909393310547
95.7276840209961,97.36019134521484
95.75625610351562,97.08922576904297
96.33538818359375,97.12694549560547
94.82951354980469,96.45053100585938
95.77561950683594,96.6759033203125
96.20723724365234,97.22359466552734
96.04698181152344,97.25007629394531
96.33341979980469,97.65233612060547
95.3258285522461,97.64585876464844
96.85230255126953,97.36682891845703
91.97686004638672,96.55432891845703
96.41456604003906,97.17086791992188
95.30281066894531,96.80945587158203
95.30857849121094,97.0145492553711
96.34664916992188,97.9325942993164
96.41008758544922,97.63906860351562
95.36311340332031,97.34060668945312
96.32403564453125,97.5720443725586
96.3716812133789,97.25663757324219
96.42082214355469,97.74945831298828
95.61949157714844,97.51166534423828
95.97027587890625,97.48499298095703
95.65217590332031,96.38148498535156
96.81472778320312,97.34073638916016
95.38619232177734,97.43677520751953
96.3408203125,97.62153625488281
96.14978790283203,98.25949096679688
94.92789459228516,96.39482879638672
96.40045166015625,97.4971923828125
95.72698211669922,95.87037658691406
96.7741928100586,97.363525390625
96.37760162353516,97.61251068115234
95.49735260009766,97.20423889160156
96.78899383544922,97.64908599853516
95.74003601074219,96.83233642578125
